category,field,value
metadata,format,PDF 1.7
metadata,title,101 SOP103354 03FEB25 JEN_no annotation.pdf
metadata,author,
metadata,subject,
metadata,keywords,
metadata,creator,
metadata,producer,Microsoft: Print To PDF
metadata,creationDate,D:20250924104458+05'30'
metadata,modDate,D:20250924104458+05'30'
metadata,trapped,
metadata,encryption,None
summary,document_summary,"# Comprehensive Summary: Fluorescence Assay Results - Experiment #1

## Document Overview
**Document Type:** Laboratory analytical report  
**Title:** Experiment #1 - Fluorescence Assay Results  
**Date:** February 3, 2025  
**Operator:** jdea  
**Status:** QC Approved (February 4, 2025)

## Experimental Setup
This document reports results from a fluorescence-based assay conducted using a SpectraMax M3 plate reader. The experiment utilized specific fluorescence parameters:
- **Excitation wavelength:** 365 nm
- **Emission wavelength:** 440 nm  
- **Cutoff filter:** 435 nm
- **Reading conditions:** 6 flashes per read, auto PMT settings
- **Temperature:** 20.2°C (mean)

## Main Sections and Content

### 1. Standard Curve Analysis
The assay included a 6-point standard curve (0.0 to 2.5 concentration units) showing excellent linearity:
- Standards ranged from 25,544 fluorescence units (0.0 std) down to 2,356 units (0.5 std), then increased linearly to 11,182 units (2.5 std)
- Back-calculated concentrations showed high accuracy (99.42% to 101.20% recovery)
- Quality control ratio (0.5 μM/0.0 μM) = 92.240

### 2. Sample and Control Results
- **Blank control (MUI):** 660.08 fluorescence units
- **Reference sample:** 6,996.6 units
- **Test samples 1-3:** Results ranging from 6,972 to 7,410 units (all similar to reference)
- **Samples 4-6:** No data collected

### 3. Quality Control Information
- Document follows approved SOP protocol (NVT615/2025Q1/101 SOP1033S4)
- QC verification completed and approved
- Proper documentation chain maintained

## Key Findings and Data Quality
- The standard curve demonstrates excellent assay performance with consistent back-calculation accuracy
- Sample results show good reproducibility among tested samples (1-3)
- The assay appears to be measuring pmole-level concentrations
- Data collection was systematic and well-documented

## Document Purpose and Context
This appears to be a quantitative fluorescence assay, likely for biochemical or pharmaceutical analysis, designed to measure specific analyte concentrations in unknown samples against a calibrated standard curve. The high level of QC documentation suggests this is part of a regulated analytical environment, possibly for drug development or clinical testing applications.

**Document Status:** Page 1 of 2 (additional pages may contain further analysis or interpretation)"
structured_data,raw_extraction,"```json
{
  ""document_info"": {
    ""title"": ""Document Analysis: Experiment #1 - Fluorescence Assay Results"",
    ""experiment_id"": ""Experiment#1"",
    ""document_type"": ""Fluorescence Assay Results""
  },
  ""instrument_settings"": {
    ""endpoint"": ""Fluorescence"",
    ""parameters"": [""Ex"", ""Auto Cutoff"", ""Em""],
    ""lm1_values"": [365, 435, 440],
    ""pmt_optics"": ""Auto"",
    ""reads_per_flash"": 6,
    ""wavelength_combination"": ""fLm1""
  },
  ""instrument_info"": {
    ""model"": ""SpectraMax M3"",
    ""rom_version"": ""v3.0.22 16Feb11"",
    ""operator"": ""jdea"",
    ""mean_temperature"": ""20.2°C""
  },
  ""timing_info"": {
    ""start_read"": ""10:32 03-Feb-2025"",
    ""read_dates"": [
      ""03-Feb-2025 10:11"",
      ""03-Feb-2025 10:12"",
      ""03-Feb-2025 10:13"",
      ""03-Feb-2025 10:14"",
      ""03-Feb-2025 10:15"",
      ""03-Feb-2025 10:27"",
      ""03-Feb-2025 10:28"",
      ""03-Feb-2025 10:30"",
      ""03-Feb-2025 10:31"",
      ""03-Feb-2025 10:32""
    ]
  },
  ""well_data"": {
    ""standard_curve"": [
      {
        ""well"": ""A1"",
        ""type"": ""0.0 Std"",
        ""value"": 25544,
        ""reduced_value"": 25544,
        ""timestamp"": ""03-Feb-2025 10:11""
      },
      {
        ""well"": ""A2"",
        ""type"": ""0.5 Std"",
        ""value"": 2356.2,
        ""reduced_value"": 2356.2,
        ""timestamp"": ""03-Feb-2025 10:12""
      },
      {
        ""well"": ""A3"",
        ""type"": ""1.0 Std"",
        ""value"": 4613.0,
        ""reduced_value"": 4613.0,
        ""timestamp"": ""03-Feb-2025 10:13""
      },
      {
        ""well"": ""A4"",
        ""type"": ""1.5 Std"",
        ""value"": 6842.5,
        ""reduced_value"": 6842.5,
        ""timestamp"": ""03-Feb-2025 10:13""
      },
      {
        ""well"": ""A5"",
        ""type"": ""2.0 Std"",
        ""value"": 9023.8,
        ""reduced_value"": 9023.8,
        ""timestamp"": ""03-Feb-2025 10:14""
      },
      {
        ""well"": ""A6"",
        ""type"": ""2.5 Std"",
        ""value"": ""1.1e4"",
        ""reduced_value"": ""1.1e4"",
        ""timestamp"": ""03-Feb-2025 10:15""
      }
    ],
    ""samples"": [
      {
        ""well"": ""B1"",
        ""type"": ""MUI Blank"",
        ""value"": 660.08,
        ""reduced_value"": 660.08,
        ""timestamp"": ""03-Feb-2025 10:27""
      },
      {
        ""well"": ""B2"",
        ""type"": ""Reference"",
        ""value"": 6996.6,
        ""reduced_value"": 6996.6,
        ""timestamp"": ""03-Feb-2025 10:28""
      },
      {
        ""well"": ""B3"",
        ""type"": ""Sample 1"",
        ""value"": 7061.5,
        ""reduced_value"": 7061.5,
        ""timestamp"": ""03-Feb-2025 10:30""
      },
      {
        ""well"": ""B4"",
        ""type"": ""Sample 2"",
        ""value"": 6971.6,
        ""reduced_value"": 6971.6,
        ""timestamp"": ""03-Feb-2025 10:31""
      },
      {
        ""well"": ""B5"",
        ""type"": ""Sample 3"",
        ""value"": 7409.7,
        ""reduced_value"": 7409.7,
        ""timestamp"": ""03-Feb-2025 10:32""
      },
      {
        ""well"": ""B6"",
        ""type"": ""Sample 4"",
        ""value"": null,
        ""reduced_value"": null,
        ""timestamp"": null,
        ""status"": ""No Data""
      },
      {
        ""well"": ""B7"",
        ""type"": ""Sample 5"",
        ""value"": null,
        ""reduced_value"": null,
        ""timestamp"": null,
        ""status"": ""No Data""
      },
      {
        ""well"": ""B8"",
        ""type"": ""Sample 6"",
        ""value"": null,
        ""reduced_value"": null,
        ""timestamp"": null,
        ""status"": ""No Data""
      }
    ]
  },
  ""reference_info"": {
    ""all_wells"": ""No Reference""
  },
  ""incomplete_sections"": {
    ""standards_calculation_table"": {
      ""status"": ""incomplete"",
      ""headers"": [""Sample"", ""Concentration"", ""Wells"", ""Values"", ""Back Calc Conc (pmoles)"", ""Percent Back Calc""],
      ""note"": ""Table data appears to be cut off in the provided content""
    }
  }
}
```"
page_content,page_1,"# Document Analysis: Experiment #1 - Fluorescence Assay Results

## Document Header
**Title:** Experiment#1

## Settings Information
**Endpoint:** Fluorescence  
**Parameters:** Ex, Auto Cutoff, Em  
**Lm1:** 365, 435, 440  
**PMT and Optics:** Auto  
**Reads:** 6 Flashes/read  

## Well Data Results

### Standard Curve Wells (A1-A6)
- **A1** (0.0 Std): 25,544 | Reduced: 25,544 | Date: 03-Feb-2025 10:11 | Ref: No Reference
- **A2** (0.5 Std): 2356.2 | Reduced: 2356.2 | Date: 03-Feb-2025 10:12 | Ref: No Reference  
- **A3** (1.0 Std): 4613.0 | Reduced: 4613.0 | Date: 03-Feb-2025 10:13 | Ref: No Reference
- **A4** (1.5 Std): 6842.5 | Reduced: 6842.5 | Date: 03-Feb-2025 10:13 | Ref: No Reference
- **A5** (2.0 Std): 9023.8 | Reduced: 9023.8 | Date: 03-Feb-2025 10:14 | Ref: No Reference
- **A6** (2.5 Std): 1.1e4 | Reduced: 1.1e4 | Date: 03-Feb-2025 10:15 | Ref: No Reference

### Control and Sample Wells (B1-B8)
- **B1** (MUI Blank): 660.08 | Reduced: 660.08 | Date: 03-Feb-2025 10:27 | Ref: No Reference
- **B2** (Reference): 6996.6 | Reduced: 6996.6 | Date: 03-Feb-2025 10:28 | Ref: No Reference
- **B3** (Sample 1): 7061.5 | Reduced: 7061.5 | Date: 03-Feb-2025 10:30 | Ref: No Reference
- **B4** (Sample 2): 6971.6 | Reduced: 6971.6 | Date: 03-Feb-2025 10:31 | Ref: No Reference
- **B5** (Sample 3): 7409.7 | Reduced: 7409.7 | Date: 03-Feb-2025 10:32 | Ref: No Reference
- **B6** (Sample 4): No Data | Date: No Data | Ref: No Reference
- **B7** (Sample 5): No Data | Date: No Data | Ref: No Reference
- **B8** (Sample 6): No Data | Date: No Data | Ref: No Reference

## Technical Settings
**Reduction Settings:**  
Wavelength Combination: fLm1

## Read Information
- **Instrument:** SpectraMax M3
- **ROM Version:** v3.0.22 16Feb11
- **Start Read:** 10:32 03-Feb-2025
- **Mean Temperature:** 20.2°C
- **Read By:** jdea

## Standards Calculation Table
| Sample | Concentration | Wells | Values | Back Calc Conc (pmoles) | Percent Back Calc |
|--------|---------------|-------|---------|-------------------------|-------------------|
| 0.0 Std | 0.0 | A1 | 25,544 | -0.017 | -Inf |
| 0.5 Std | 0.5 | A2 | 2356.174 | 0.506 | 101.14 |
| 1.0 Std | 1.0 | A3 | 4612.967 | 1.012 | 101.20 |
| 1.5 Std | 1.5 | A4 | 6842.518 | 1.512 | 100.81 |
| 2.0 Std | 2.0 | A5 | 9023.809 | 2.001 | 100.07 |
| 2.5 Std | 2.5 | A6 | 11181.518 | 2.486 | 99.42 |

## Key Calculations
**0.5 μM / 0.0 μM Std Ratio = 92.240**

## Document Footer
**QC Information:**  
QC Verified Protocols/NVT615/2025Q1/101 SOP1033S4 03FEB25 JEN - Document Status: Approved  
04-Feb-2025 14:46:52  
Page 1 of 2"
